study_accession,paper_id,pmid,pmcid,doi,title
PRJNA555020,31676793,31676793.0,PMC6825150,10.1038/s41467-019-13014-7,Impact of delivery mode-associated gut microbiota dynamics on health in the first year of life.
PRJNA549787,31832638,31832638.0,PMC7778358,10.1093/cid/ciz1186,"Cotrimoxazole Prophylaxis Increases Resistance Gene Prevalence and α-Diversity but Decreases β-Diversity in the Gut Microbiome of Human Immunodeficiency Virus-Exposed, Uninfected Infants."
PRJEB22207,31844297,31844297.0,PMC7044117,10.1038/s41564-019-0626-z,Rapid MinION profiling of preterm microbiota and antimicrobial-resistant pathogens.
PRJNA273761,31844663,31844663.0,PMC6905865,10.1126/sciadv.aax5727,"Necrotizing enterocolitis is preceded by increased gut bacterial replication, <i>Klebsiella</i>, and fimbriae-encoding bacteria."
PRJNA294605,31844663,31844663.0,PMC6905865,10.1126/sciadv.aax5727,"Necrotizing enterocolitis is preceded by increased gut bacterial replication, <i>Klebsiella</i>, and fimbriae-encoding bacteria."
PRJNA376566,31844663,31844663.0,PMC6905865,10.1126/sciadv.aax5727,"Necrotizing enterocolitis is preceded by increased gut bacterial replication, <i>Klebsiella</i>, and fimbriae-encoding bacteria."
PRJNA396794,31844663,31844663.0,PMC6905865,10.1126/sciadv.aax5727,"Necrotizing enterocolitis is preceded by increased gut bacterial replication, <i>Klebsiella</i>, and fimbriae-encoding bacteria."
PRJNA60717,31844663,31844663.0,PMC6905865,10.1126/sciadv.aax5727,"Necrotizing enterocolitis is preceded by increased gut bacterial replication, <i>Klebsiella</i>, and fimbriae-encoding bacteria."
PRJNA510445,31959989,31959989.0,PMC7018602,10.1038/s41591-019-0714-x,Fecal dysbiosis in infants with cystic fibrosis is associated with early linear growth failure.
PRJNA543520,32239170,32239170.0,PMC8514186,10.1093/infdis/jiaa155,Vertical Transmission of Gut Microbiome and Antimicrobial Resistance Genes in Infants Exposed to Antibiotics at Birth.
PRJNA557731,32284564,32284564.0,PMC8052915,10.1038/s41564-020-0694-0,Bacterial colonization reprograms the neonatal gut metabolome.
PRJEB32631,32431894,32431894.0,PMC7211887,10.1098/rsos.192200,An individualized mosaic of maternal microbial strains is transmitted to the infant gut microbial community.
