study_accession,catalog_status,reason_code,n_authors,first_author,last_author,n_papers,n_linked_papers,n_bioproject_pubs,organisations,has_any_author,has_any_organisation,in_ncbi_bioproject
PRJNA931776,excluded,age_unknown_no_evidence,0,,,0,0,0,Blood Center of Zhejiang Province,False,True,True
PRJNA931814,excluded,age_unknown_no_evidence,6,Campos-Madueno EI,Endimiani A,2,0,2,University of Bern,True,True,True
PRJNA931979,excluded,age_unknown_no_evidence,0,,,0,0,0,Latvian Biomedical Research and Study Centre,False,True,True
PRJNA932550,excluded,age_unknown_no_evidence,0,,,0,0,0,Genoxor Medical&Science Technology Inc.,False,True,True
PRJNA932553,excluded,age_unknown_no_evidence,0,,,0,0,0,The University of Hong Kong,False,True,True
PRJNA932796,excluded,age_unknown_no_evidence,0,,,0,0,0,"People's Hospital of Xinjiang Uygur Autonomous Region, Urumqi, China",False,True,True
PRJNA932960,excluded,age_unknown_no_evidence,0,,,0,0,0,China Agricultural University,False,True,True
PRJNA932961,excluded,age_unknown_no_evidence,0,,,0,0,0,Shanghai Jiao Tong University,False,True,True
PRJNA933917,excluded,age_unknown_no_evidence,0,,,0,0,0,Brazilian National Cancer Institute,False,True,True
PRJNA933944,excluded,age_unknown_no_evidence,0,,,0,0,0,"Hangzhou Matridx Biotechnology Co,Ltd",False,True,True
PRJNA934363,excluded,age_unknown_no_evidence,0,,,0,0,0,Hirszfeld Institute of Immunology and Experimental Therapy,False,True,True
PRJNA935059,excluded,age_unknown_no_evidence,0,,,0,0,0,The Second Hospital of Shandong University,False,True,True
PRJNA935265,excluded,age_unknown_no_evidence,0,,,0,0,0,Ghent University,False,True,True
PRJNA935919,excluded,age_unknown_no_evidence,0,,,0,0,0,Oxford University Clinical Research Unit,False,True,True
PRJNA936082,excluded,age_unknown_no_evidence,0,,,0,0,0,Addis Ababa University,False,True,True
PRJNA936589,excluded,age_unknown_no_evidence,0,,,0,0,0,University of North Carolina at Charlotte,False,True,True
PRJNA936638,excluded,age_unknown_no_evidence,0,,,0,0,0,China Agricultural University,False,True,True
PRJNA936669,excluded,age_unknown_no_evidence,0,,,0,0,0,Tianjin Medical University General Hospital,False,True,True
PRJNA936929,excluded,age_unknown_no_evidence,0,,,0,0,0,Xiangtan University,False,True,True
PRJNA937065,excluded,age_unknown_no_evidence,0,,,0,0,0,Monasterium Laboratory,False,True,True
PRJNA937315,excluded,age_unknown_no_evidence,0,,,0,0,0,Centro de Ciencias Genomicas - Universidad Nacional Autonoma de Mexico,False,True,True
PRJNA937455,excluded,age_unknown_no_evidence,0,,,0,0,0,Chengdu Research Base of Giant Panda Breeding,False,True,True
PRJNA937458,excluded,age_unknown_no_evidence,0,,,0,0,0,Seoul National University,False,True,True
PRJNA938262,excluded,age_unknown_no_evidence,0,,,0,0,0,Haikou Third People's Hospital,False,True,True
PRJNA938297,excluded,age_unknown_no_evidence,0,,,0,0,0,"Shenzhen XBiome Biotech Co., Ltd.",False,True,True
PRJNA938779,excluded,age_unknown_no_evidence,0,,,0,0,0,,False,False,True
PRJNA939026,excluded,age_unknown_no_evidence,0,,,0,0,0,Technion - Israel Institute of Technology,False,True,True
PRJNA939356,excluded,age_unknown_no_evidence,0,,,0,0,0,Liaoning Ocean and Fisheries Science Research Institute,False,True,True
PRJNA940499,excluded,age_unknown_no_evidence,0,,,0,0,0,Stanford University,False,True,True
PRJNA940664,excluded,age_unknown_no_evidence,0,,,0,0,0,Aarhus University,False,True,True
PRJNA940850,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Naples Federico II,False,True,True
PRJNA941079,excluded,age_unknown_no_evidence,0,,,0,0,0,Nanyang Technological University,False,True,True
PRJNA941095,excluded,age_unknown_no_evidence,0,,,0,0,0,Xinhua hospital,False,True,True
PRJNA941376,excluded,age_unknown_no_evidence,0,,,0,0,0,Shanghai University of Traditional Chinese Medicine,False,True,True
PRJNA941834,excluded,age_unknown_no_evidence,0,,,0,0,0,Sidra Medicine,False,True,True
PRJNA942237,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Science and Technology of China,False,True,True
PRJNA942244,excluded,age_unknown_no_evidence,0,,,0,0,0,Interner Hospital of Medical University General Hospital,False,True,True
PRJNA942323,excluded,age_unknown_no_evidence,0,,,0,0,0,Rush University Medical Center,False,True,True
PRJNA942361,excluded,age_unknown_no_evidence,0,,,0,0,0,"Hangzhou Matridx Biotechnology Co.,Ltd",False,True,True
PRJNA942468,excluded,age_unknown_no_evidence,0,,,0,0,0,Radboud university medical center,False,True,True
PRJNA943135,excluded,age_unknown_no_evidence,12,Kulecka M,Ostrowski J,1,0,1,Centrum Onkologii-Instytut im. Marii Sklodowskiej-Curie,True,True,True
PRJNA943254,excluded,age_unknown_no_evidence,0,,,0,0,0,Leiden University Medical Center,False,True,True
PRJNA943491,excluded,age_unknown_no_evidence,0,,,0,0,0,Karolinska Institute,False,True,True
PRJNA943575,excluded,age_unknown_no_evidence,0,,,0,0,0,The First Affiliated Hospital of Sun Yat-sen University,False,True,True
PRJNA944152,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Trento,False,True,True
PRJNA944842,excluded,age_unknown_no_evidence,0,,,0,0,0,"Beijing Chest Hospital, Capital Medical University",False,True,True
PRJNA945408,excluded,age_unknown_no_evidence,18,Blake KS,Dantas G,1,0,1,Washington University in St Louis,True,True,True
PRJNA946200,excluded,age_unknown_no_evidence,0,,,0,0,0,RAJIV GANDHI CENTRE FOR BIOTECHNOLOGY,False,True,True
PRJNA946338,excluded,age_unknown_no_evidence,0,,,0,0,0,"Shanghai Tenth People Hospital, Tongji University",False,True,True
PRJNA946744,excluded,age_adult_only,19,Shang J,Faith JJ,1,1,0,Icahn School of Medicine at Mount Sinai,True,True,True
PRJNA946921,excluded,age_unknown_no_evidence,0,,,0,0,0,Imperial College London,False,True,True
PRJNA947193,excluded,age_unknown_no_evidence,0,,,0,0,0,Arizona State University,False,True,True
PRJNA948536,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Washington Medical Center,False,True,True
PRJNA949023,excluded,age_unknown_no_evidence,0,,,0,0,0,Albert-Ludwigs-University Freiburg,False,True,True
PRJNA949277,excluded,age_unknown_no_evidence,0,,,0,0,0,"Xuanwu Hospital, Capital Medical University",False,True,True
PRJNA949363,excluded,age_unknown_no_evidence,0,,,0,0,0,Genomics Research Center,False,True,True
PRJNA949964,excluded,age_unknown_no_evidence,0,,,0,0,0,Second Affiliated Hospital of Fujian Medical University,False,True,True
PRJNA949987,excluded,age_unknown_no_evidence,0,,,0,0,0,Second Affiliated Hospital of Fujian Medical University,False,True,True
PRJNA950577,excluded,age_unknown_no_evidence,26,Shen Y,Chen Y,1,1,0,Zhejiang University,True,True,True
PRJNA950931,excluded,age_unknown_no_evidence,0,,,0,0,0,Qiqihar Medical University,False,True,True
PRJNA951206,excluded,age_unknown_no_evidence,0,,,0,0,0,West China hospital of sichuan university,False,True,True
PRJNA951887,excluded,age_unknown_no_evidence,0,,,0,0,0,Genoxor Medical&Science Technology Inc.,False,True,True
PRJNA952317,excluded,age_unknown_no_evidence,0,,,0,0,0,Department of Respiratory and Critical Care Medicine,False,True,True
PRJNA952804,excluded,age_unknown_no_evidence,0,,,0,0,0,Peking University School and Hospital of Stomatology,False,True,True
PRJNA953446,excluded,age_unknown_no_evidence,0,,,0,0,0,Shenzhen Center for Disease Control and Prevention,False,True,True
PRJNA953603,excluded,age_unknown_no_evidence,0,,,0,0,0,Zhejiang University,False,True,True
PRJNA953845,excluded,age_unknown_no_evidence,0,,,0,0,0,the Fifth Medical Centre of Chinese PLA General Hospital,False,True,True
PRJNA954584,excluded,age_unknown_no_evidence,0,,,0,0,0,Max Plank Institute for Evolutionary Biology,False,True,True
PRJNA954677,excluded,age_unknown_no_evidence,0,,,0,0,0,Shenzhen Center for Disease Control and Prevention,False,True,True
PRJNA955318,excluded,age_unknown_no_evidence,0,,,0,0,0,"Hangzhou Matridx Biotechnology Co.,Ltd",False,True,True
PRJNA955402,excluded,age_unknown_no_evidence,0,,,0,0,0,Shandong Provincial Hospital Heze Branch,False,True,True
PRJNA955434,excluded,age_unknown_no_evidence,0,,,0,0,0,Shandong University,False,True,True
PRJNA955932,excluded,age_unknown_no_evidence,0,,,0,0,0,"Lihuili Hospital, Ningbo Medical Center, Ningbo",False,True,True
PRJNA956112,excluded,age_unknown_no_evidence,0,,,0,0,0,Stockholm University; Universal Sequencing Corporation,False,True,True
PRJNA956127,excluded,age_unknown_no_evidence,0,,,0,0,0,"Hangzhou Matridx Biotechnology Co.,Ltd",False,True,True
PRJNA956132,excluded,age_unknown_no_evidence,0,,,0,0,0,Shenzhen Center for Disease Control and Prevention,False,True,True
PRJNA956492,excluded,age_unknown_no_evidence,0,,,0,0,0,Chulalongkorn University,False,True,True
PRJNA956818,excluded,age_unknown_no_evidence,0,,,0,0,0,Sir Ganga Ram Hospital,False,True,True
PRJNA956996,excluded,age_unknown_no_evidence,0,,,0,0,0,Shandong University,False,True,True
PRJNA957107,excluded,age_unknown_no_evidence,9,Danckert NP,Williams FMK,1,0,1,King's College London,True,True,True
PRJNA957324,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Sao Paulo,False,True,True
PRJNA957678,excluded,age_unknown_no_evidence,0,,,0,0,0,Inner Mongolia Peoples Hospital,False,True,True
PRJNA961304,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Washington,False,True,True
PRJNA961962,excluded,age_unknown_no_evidence,0,,,0,0,0,Catholic University of Leuven,False,True,True
PRJNA962059,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Minnesota,False,True,True
PRJNA966136,excluded,age_unknown_no_evidence,5,Prasanchit P,Manonai J,1,0,1,Mahidol University,True,True,True
PRJNA967387,excluded,age_unknown_no_evidence,0,,,0,0,0,Los Angeles County Public Health Lab microbial pathogen submission group,False,True,True
PRJNA967388,excluded,age_unknown_no_evidence,0,,,0,0,0,Los Angeles County Public Health Lab microbial pathogen submission group,False,True,True
PRJNA967723,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Texas at Austin,False,True,True
PRJNA967818,excluded,age_unknown_no_evidence,0,,,0,0,0,Hangzhou Red Cross Hospital,False,True,True
PRJNA970190,excluded,age_unknown_no_evidence,0,,,0,0,0,Mahidol University,False,True,True
PRJNA971259,excluded,age_unknown_no_evidence,0,,,0,0,0,Second Affiliated Hospital of Zhejiang University,False,True,True
PRJNA971360,excluded,age_unknown_no_evidence,0,,,0,0,0,Third Institute of Oceanography,False,True,True
PRJNA971748,excluded,age_unknown_no_evidence,0,,,0,0,0,CRCHUM,False,True,True
PRJNA971998,excluded,age_unknown_no_evidence,0,,,0,0,0,UFRJ,False,True,True
PRJNA972883,excluded,age_unknown_no_evidence,0,,,0,0,0,University of the Sunshine Coast,False,True,True
PRJNA973018,excluded,age_unknown_no_evidence,0,,,0,0,0,Jinan University,False,True,True
PRJNA973096,excluded,age_unknown_no_evidence,0,,,0,0,0,FLDOH,False,True,True
PRJNA973955,excluded,age_unknown_no_evidence,0,,,0,0,0,The University of Texas MD Anderson,False,True,True
PRJNA974554,excluded,age_unknown_no_evidence,0,,,0,0,0,the First Hospital of China Medical University,False,True,True
PRJNA975307,excluded,age_unknown_no_evidence,0,,,0,0,0,Hunan Agricultural University,False,True,True
PRJNA975344,excluded,age_unknown_no_evidence,0,,,0,0,0,Henan Provincial People's Hospital,False,True,True
PRJNA975692,excluded,age_unknown_no_evidence,0,,,0,0,0,Seoul National University,False,True,True
PRJNA975699,excluded,age_unknown_no_evidence,0,,,0,0,0,Shanghai University of Traditional Chinese Medicine,False,True,True
PRJNA975734,excluded,age_adult_only,19,Mancabelli L,Ventura M,1,1,0,University of Parma,True,True,True
PRJNA976029,excluded,age_unknown_no_evidence,0,,,0,0,0,Children's Hospital of Philadelphia,False,True,True
PRJNA976179,excluded,age_unknown_no_evidence,0,,,0,0,0,Ulsan National Institute of Science and Technology,False,True,True
PRJNA976261,excluded,age_unknown_no_evidence,9,Farina R,Scapoli C,2,0,2,University of Ferrara,True,True,True
PRJNA976404,excluded,age_unknown_no_evidence,25,Nguyen LH,Lai PS,1,0,1,Harvard T.H. Chan School of Public Health,True,True,True
PRJNA976726,excluded,age_unknown_no_evidence,0,,,0,0,0,Mcgill University,False,True,True
PRJNA977029,excluded,age_unknown_no_evidence,0,,,0,0,0,Anhui Agricultural University,False,True,True
PRJNA978021,excluded,age_unknown_no_evidence,0,,,0,0,0,Genoxor Medical&Science Technology Inc.,False,True,True
PRJNA978931,excluded,age_unknown_no_evidence,0,,,0,0,0,MD Anderson Cancer Center,False,True,True
PRJNA979827,excluded,age_unknown_no_evidence,0,,,0,0,0,Guangdong Provincial People's Hospital,False,True,True
PRJNA980579,excluded,age_unknown_no_evidence,0,,,0,0,0,Fujian Medical University Union Hospital,False,True,True
PRJNA981109,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Cape Town,False,True,True
PRJNA981159,excluded,age_unknown_no_evidence,0,,,0,0,0,NIAID; NIAID Microbiome Program,False,True,True
PRJNA981198,excluded,age_unknown_no_evidence,0,,,0,0,0,Cornell University,False,True,True
PRJNA981235,excluded,age_unknown_no_evidence,0,,,0,0,0,"Beijing Children's Hospital, Capital Medical University",False,True,True
PRJNA981362,excluded,age_unknown_no_evidence,0,,,0,0,0,"Dian Diagnostics Group Co., Ltd.",False,True,True
PRJNA981453,excluded,age_unknown_no_evidence,0,,,0,0,0,Ocean University of China,False,True,True
PRJNA981662,excluded,age_unknown_no_evidence,0,,,0,0,0,National Institute of Health,False,True,True
PRJNA982127,excluded,age_unknown_no_evidence,0,,,0,0,0,Central South University,False,True,True
PRJNA982297,excluded,age_unknown_no_evidence,0,,,0,0,0,Trinity College Dublin,False,True,True
PRJNA982307,excluded,age_unknown_no_evidence,0,,,0,0,0,Sun Yat-sen University,False,True,True
PRJNA982408,excluded,age_unknown_no_evidence,0,,,0,0,0,central south university,False,True,True
PRJNA982563,excluded,age_unknown_no_evidence,0,,,0,0,0,South China Agriculture University,False,True,True
PRJNA982594,excluded,age_unknown_no_evidence,0,,,0,0,0,"BGI-Wuhan Clinical Laboratories, BGI-Shenzhen",False,True,True
PRJNA982891,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Queensland,False,True,True
PRJNA983133,excluded,age_unknown_no_evidence,0,,,0,0,0,Henri Mondor Hospital - APHP,False,True,True
PRJNA983219,excluded,age_unknown_no_evidence,0,,,0,0,0,National University of La Plata; UM CFAR SCCC Argentina Consortium for research and training in Virally Induced AIDS Malignancies,False,True,True
PRJNA983495,excluded,age_unknown_no_evidence,0,,,0,0,0,Beijing macro&micro-test Bio-Tech Co.Ltd,False,True,True
PRJNA983534,excluded,age_unknown_no_evidence,0,,,0,0,0,KU Leuven,False,True,True
PRJNA984000,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Trento,False,True,True
PRJNA984922,excluded,age_unknown_no_evidence,0,,,0,0,0,"Shanghai Ninth Peoples Hospital, Shanghai Jiao Tong University School of Medicine",False,True,True
PRJNA984933,excluded,age_unknown_no_evidence,0,,,0,0,0,The Third Xiangya Hospital,False,True,True
PRJNA985087,excluded,age_unknown_no_evidence,0,,,0,0,0,Department of respiratory medicine,False,True,True
PRJNA985875,excluded,age_unknown_no_evidence,0,,,0,0,0,The Affiliated Huaian No.1 People Hospital of Nanjing Medical University,False,True,True
PRJNA985904,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Copenhagen,False,True,True
PRJNA986135,excluded,age_unknown_no_evidence,6,Almas S,Sharma R,1,0,1,Advanta Genetics,True,True,True
PRJNA987158,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Minnesota,False,True,True
PRJNA988170,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Shanghai for Science and Technology,False,True,True
PRJNA988962,excluded,age_unknown_no_evidence,0,,,0,0,0,"Nanfang Hospital, Southern Medical University",False,True,True
PRJNA989735,excluded,age_unknown_no_evidence,0,,,0,0,0,Huizhou central peoples hospital,False,True,True
PRJNA990354,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Dhaka,False,True,True
PRJNA991155,excluded,age_unknown_no_evidence,0,,,0,0,0,California Institute of Technology,False,True,True
PRJNA991311,excluded,age_unknown_no_evidence,0,,,0,0,0,nstitute Animal Husbandry and VeteBeijing Academy of Agriculture and Forestry Sciences,False,True,True
PRJNA991321,excluded,age_unknown_no_evidence,0,,,0,0,0,First affiliated hospital of Forth military medical university,False,True,True
PRJNA991503,excluded,age_unknown_no_evidence,0,,,0,0,0,Harbin medical university,False,True,True
PRJNA992797,excluded,age_unknown_no_evidence,0,,,0,0,0,Universidad Nacional Autonoma de Mexico,False,True,True
PRJNA992918,excluded,age_unknown_no_evidence,0,,,0,0,0,Changsha Central Hospital,False,True,True
PRJNA993161,excluded,age_unknown_no_evidence,0,,,0,0,0,Prolacta Bioscience,False,True,True
PRJNA993297,excluded,age_unknown_no_evidence,0,,,0,0,0,Tongji University,False,True,True
PRJNA993449,excluded,age_unknown_no_evidence,0,,,0,0,0,Genoxor Medical Science and Technology Inc.,False,True,True
PRJNA993600,excluded,age_unknown_no_evidence,0,,,0,0,0,Genut,False,True,True
PRJNA994318,excluded,age_unknown_no_evidence,0,,,0,0,0,"Beijing Obstetrics and Gynecology Hospital, Capital Medical University",False,True,True
PRJNA995059,excluded,age_unknown_no_evidence,6,Almas S,Sharma R,1,0,1,Advanta Genetics; Sadia Almas; Vaibhav Kumar Tamrakar; Rob Carpenter,True,True,True
PRJNA995425,excluded,age_unknown_no_evidence,0,,,0,0,0,First affiliated hospital of Forth military medical university,False,True,True
PRJNA995885,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Minnesota,False,True,True
PRJNA995907,excluded,age_unknown_no_evidence,0,,,0,0,0,Wuhan Puren Hospital,False,True,True
PRJNA996050,excluded,age_unknown_no_evidence,20,Vietsch EE,van Eijck CHJ,1,0,1,Erasmus MC,True,True,True
PRJNA996497,excluded,age_unknown_no_evidence,0,,,0,0,0,Shanxi Bethune Hospital,False,True,True
PRJNA996997,excluded,age_unknown_no_evidence,0,,,0,0,0,Greninger,False,True,True
PRJNA997379,excluded,age_unknown_no_evidence,0,,,0,0,0,"University of Maryland, Baltimore",False,True,True
PRJNA998606,excluded,age_unknown_no_evidence,0,,,0,0,0,Beijing Obstetrics and Gynecology Hospital,False,True,True
PRJNA998608,excluded,age_unknown_no_evidence,0,,,0,0,0,"guangzhou Kingcreate biotechnology Co.,Ltd",False,True,True
PRJNA999191,excluded,age_unknown_no_evidence,0,,,0,0,0,Faculty of Applied Science - University of Campinas,False,True,True
PRJNA999455,excluded,age_unknown_no_evidence,0,,,0,0,0,Gansu Agricultural University,False,True,True
PRJNA999587,excluded,age_unknown_no_evidence,0,,,0,0,0,North-West University,False,True,True
PRJDB13754,excluded,assay_other_nonshotgun,0,,,0,0,0,"surgery, university; KURUME_U",False,True,True
PRJEB100868,included,,7,Cavani E,de Vos WM,1,1,0,Alba Health AB,True,True,True
PRJEB101146,excluded,age_adult_only,0,,,0,0,0,Leibniz Institute for Immunotherapy,False,True,True
PRJEB102023,excluded,assay_other_nonshotgun,0,,,0,0,0,Institute for Archaeological Sciences,False,True,True
PRJEB102472,excluded,assay_other_nonshotgun,0,,,0,0,0,Institute for Archaeological Sciences,False,True,True
PRJEB104438,excluded,site_excluded,0,,,0,0,0,University of Lubeck,False,True,True
PRJEB105455,excluded,age_adult_only,0,,,0,0,0,FISABIO- Public Health Research,False,True,True
PRJEB107275,excluded,assay_other_nonshotgun,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB112132,excluded,age_adult_only,0,,,0,0,0,Technical University of Cartagena,False,True,True
PRJEB11531,excluded,assay_amplicon,0,,,0,0,0,University of California San Diego Microbiome Initiative,False,True,True
PRJEB11551,excluded,age_adult_only,0,,,0,0,0,Competence Center of Food and Fermentation Technologies,False,True,True
PRJEB11685,excluded,age_child_over_36m,7,Korpela K,de Vos WM,1,0,1,European Molecular Biology Laboratory,True,True,True
PRJEB123560,excluded,age_unknown_no_evidence,0,,,0,0,0,Quadram Institute Bioscience,False,True,True
PRJEB14669,excluded,age_adult_only,0,,,0,0,0,,False,False,True
PRJEB15257,included,,26,Rose G,Kroll JS,4,4,0,PUBLIC HEALTH ENGLAND,True,True,True
PRJEB16329,excluded,age_adult_only,0,,,0,0,0,Universite Bordeaux,False,True,True
PRJEB19367,excluded,age_unknown_no_evidence,0,,,0,0,0,HiThru Analytics,False,True,True
PRJEB20472,excluded,age_unknown_no_evidence,0,,,0,0,0,AUSTRALIAN CENTRE FOR ECOGENOMICS,False,True,True
PRJEB22199,excluded,site_excluded,0,,,0,0,0,University of Illinois at Urbana-Champaign,False,True,True
PRJEB23107,excluded,age_adult_only,0,,,0,0,0,Universite Bordeaux,False,True,True
PRJEB24494,excluded,site_excluded,0,,,0,0,0,SAHMRI,False,True,True
PRJEB24921,excluded,site_excluded,22,Krause-Kyora B,Krause J,1,0,1,Institute of Clinical Molecular Biology (IKMB),True,True,True
PRJEB27325,included,,14,Korpela K,de Vos WM,3,3,0,UNIVERSITY OF HELSINKI,True,True,True
PRJEB35571,excluded,assay_other_nonshotgun,0,,,0,0,0,National Bioinformatics Structure of Sweden,False,True,True
PRJEB36413,excluded,site_excluded,7,Susat J,Krause-Kyora B,1,0,1,Institute of Clinical Molecular Biology (IKMB),True,True,True
PRJEB37508,excluded,assay_other_nonshotgun,11,Giffin K,Bos KI,1,0,1,Max Planck Institute for Evolutionary Anthropology,True,True,True
PRJEB37518,excluded,assay_other_nonshotgun,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB41353,excluded,site_excluded,14,Haller M,Krause-Kyora B,1,0,1,Institute of Clinical Molecular Biology (IKMB),True,True,True
PRJEB42185,excluded,host_environmental,21,Susat J,Krause-Kyora B,1,0,1,Institute of Clinical Molecular Biology (IKMB),True,True,True
PRJEB42930,excluded,host_environmental,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB43765,excluded,assay_other_nonshotgun,0,,,0,0,0,UNIVERSITY HEALTH NETWORK,False,True,True
PRJEB45006,excluded,assay_isolate_genome,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB46230,excluded,age_adult_only,0,,,0,0,0,UMC Utrecht,False,True,True
PRJEB47335,excluded,age_unknown_no_evidence,0,,,0,0,0,,False,False,True
PRJEB49521,excluded,age_child_over_36m,0,,,0,0,0,Centre for Translational Microbiome Research (CTMR),False,True,True
PRJEB49704,excluded,host_environmental,0,,,0,0,0,"WAGENINGEN UNIVERSITY, LABORATORY OF MICROBIOLOGY",False,True,True
PRJEB51010,excluded,age_adult_only,0,,,0,0,0,Clinical Microbiomics,False,True,True
PRJEB51725,excluded,site_excluded,0,,,0,0,0,Consiglio Nazionale delle Ricerche,False,True,True
PRJEB51863,excluded,assay_other_nonshotgun,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB52774,included,,34,Matharu D,Salonen A,5,4,2,University of Helsinki,True,True,True
PRJEB54092,excluded,age_unknown_no_evidence,0,,,0,0,0,johns hopkins; Johns Hopkins,False,True,True
PRJEB54707,included,,7,Martin FP,Sprenger N,1,1,0,Cmbio,True,True,True
PRJEB54724,excluded,assay_other_nonshotgun,0,,,0,0,0,RIVM,False,True,True
PRJEB54991,included,,3,Wallingford JC,Barber CM,1,1,0,Clinical Microbiomics,True,True,True
PRJEB55648,excluded,age_unknown_no_evidence,0,,,0,0,0,,False,False,True
PRJEB55842,excluded,assay_other_nonshotgun,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB56674,excluded,age_adult_only,0,,,0,0,0,university health network; University Health Network,False,True,True
PRJEB57974,excluded,assay_other_nonshotgun,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB59488,excluded,assay_other_nonshotgun,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB60573,excluded,age_unknown_no_evidence,0,,,0,0,0,CHRISTIAN-ALBRECHTS UNIVERSITY OF KIEL,False,True,True
PRJEB60691,excluded,age_adult_only,0,,,0,0,0,amsterdam university medical centres; Amsterdam University Medical Centres,False,True,True
PRJEB61275,excluded,host_environmental,0,,,0,0,0,EURAC Research,False,True,True
PRJEB61457,excluded,assay_other_nonshotgun,0,,,0,0,0,universite clermont auvergne; Universite Clermont Auvergne,False,True,True
PRJEB61646,excluded,age_adult_only,0,,,0,0,0,"university of kuopio, finland; University of Kuopio, Finland",False,True,True
PRJEB61656,excluded,age_child_over_36m,0,,,0,0,0,university of lausanne; University of Lausanne,False,True,True
PRJEB62690,included,,8,Holst AQ,Parschat K,1,1,0,Cmbio,True,True,True
PRJEB62848,included,,5,Luoto R,Isolauri E,1,1,0,Cmbio,True,True,True
PRJEB62880,excluded,site_excluded,0,,,0,0,0,EURAC Research,False,True,True
PRJEB63100,excluded,age_adult_only,0,,,0,0,0,IISPV,False,True,True
PRJEB63222,excluded,age_adult_only,0,,,0,0,0,UNIVERSITY HOHENHEIM,False,True,True
PRJEB64567,included,,10,Korpela K,de Vos WM,1,0,1,University of Helsinki,True,True,True
PRJEB65371,excluded,age_adult_only,0,,,0,0,0,institute of health carlos iii; Institute of Health Carlos III,False,True,True
PRJEB65963,excluded,site_excluded,0,,,0,0,0,federal institute for risk assessment (bfr); Federal Institute for Risk Assessment (BfR),False,True,True
PRJEB65987,excluded,assay_other_nonshotgun,0,,,0,0,0,"ERASMUS MC, UNIVERSITY MEDICAL CENTER; ERASMUS MC",False,True,True
PRJEB67641,excluded,site_excluded,13,Veschetti L,Malerba G,1,0,1,universita degli studi di verona,True,True,True
PRJEB70237,included,,39,Matharu D,Salonen A,5,4,0,University of Helsinki,True,True,True
PRJEB72021,excluded,host_environmental,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB72279,excluded,site_excluded,0,,,0,0,0,WASHINGTON UNIVERSITY SCHOOL OF MEDICINE,False,True,True
PRJEB73590,excluded,age_unknown_no_evidence,21,Hugho EA,Mmbaga BT,3,0,3,Technical University of Denmark,True,True,True
PRJEB73985,excluded,age_adult_only,0,,,0,0,0,UNIVERSITY HOHENHEIM,False,True,True
PRJEB74133,excluded,host_environmental,0,,,0,0,0,Australian National Phenome Centre,False,True,True
PRJEB74459,excluded,age_unknown_no_evidence,0,,,0,0,0,,False,False,True
PRJEB74999,excluded,assay_other_nonshotgun,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB75921,excluded,age_adult_only,0,,,0,0,0,01life,False,True,True
PRJEB75958,excluded,age_adult_only,22,Serrano-Villar S,Moreno S,1,0,1,Instituto Ramon y Cajal de Investigacion Sanitaria,True,True,True
PRJEB76399,excluded,host_environmental,0,,,0,0,0,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark; Centre for Genomic Epidemiology",False,True,True
PRJEB77188,excluded,assay_other_nonshotgun,0,,,0,0,0,Max Planck Institute for Evolutionary Anthropology,False,True,True
PRJEB77410,excluded,age_unknown_no_evidence,0,,,0,0,0,Universidad del Rosario,False,True,True
PRJEB77936,excluded,assay_other_nonshotgun,0,,,0,0,0,Institute for Archaeological Sciences,False,True,True
PRJEB79367,excluded,age_unknown_no_evidence,0,,,0,0,0,Technical University of Denmark,False,True,False
PRJEB79896,included,,0,,,0,0,0,European Molecular Biology Laboratory,False,True,True
PRJEB80456,included,,23,Sun H,Dominguez Bello MG,1,1,0,,True,False,True
PRJEB81868,excluded,age_adult_only,0,,,0,0,0,Wageningen University and research Microbiology,False,True,True
PRJEB88042,excluded,site_excluded,0,,,0,0,0,Erasmus Medical Center,False,True,True
