study_accession,catalog_status,reason_code,n_authors,first_author,last_author,n_papers,n_linked_papers,n_bioproject_pubs,organisations,has_any_author,has_any_organisation,in_ncbi_bioproject
PRJNA1236379,excluded,host_nonhuman,11,Zemmel ZM,Lu J,1,1,0,The University of Chicago,True,True,True
PRJNA730689,excluded,age_unknown_no_evidence,0,,,0,0,0,QuantiHealth,False,True,True
PRJNA547591,excluded,age_child_over_36m,18,Tarracchini C,Milani C,3,3,0,University of Pennsylvania,True,True,True
PRJNA401977,excluded,age_maternal_only,12,Du H,Ou Z,1,1,0,Institute of Microbiology,True,True,True
PRJNA715615,included,,15,Fontana F,Milani C,1,1,0,University of Parma,True,True,True
PRJNA543967,included,,24,Tarracchini C,Milani C,4,4,0,"Shenzhen WeHealthGene Co., Ltd.",True,True,True
PRJNA1215685,excluded,age_unknown_no_evidence,0,,,0,0,0,wenzhou medical university,False,True,True
PRJEB54606,excluded,age_child_over_36m,0,,,0,0,0,"Institute of Clinical Molecular Biology, University of Kiel, Germany; Institute of Clinical Molecular Biology",False,True,True
PRJNA721545,excluded,age_adult_only,0,,,0,0,0,University of Naples Federico II,False,True,True
PRJNA977201,excluded,age_child_over_36m,0,,,0,0,0,University of Trieste,False,True,True
PRJNA400115,included,,26,Zhang L,Pan C,3,3,0,UNIVERSITY OF SOUTH FLORIDA,True,True,True
PRJNA436359,excluded,age_unknown_no_evidence,4,Shi K,Guo J,1,1,0,Harvard T.H. Chan School of Public Health,True,True,True
PRJNA589866,excluded,age_adult_only,7,Tarracchini C,Milani C,1,1,0,Diversigen,True,True,True
PRJNA544346,included,,0,,,0,0,0,Xi'an Jiaotong University,False,True,True
PRJNA484151,included,,19,Dhakal S,Renukaradhya GJ,2,2,0,South Dakota State University,True,True,True
PRJNA352475,included,,188,Ferretti P,Segata N,24,24,0,University of Trento,True,True,True
PRJNA860656,excluded,age_adult_only,0,,,0,0,0,,False,False,True
PRJNA1036590,excluded,age_child_over_36m,7,Piazzesi A,Putignani L,1,0,1,Bambino Gesu Childrens Hospital,True,True,True
PRJNA839263,excluded,age_child_over_36m,0,,,0,0,0,Hospital Universitario La Paz,False,True,True
PRJEB20515,excluded,assay_amplicon,0,,,0,0,0,University of California San Diego Microbiome Initiative,False,True,True
PRJNA871195,excluded,assay_other_nonshotgun,7,Li H,Lu H,1,1,0,Jiangsu University,True,True,True
PRJNA718907,excluded,age_unknown_no_evidence,0,,,0,0,0,Xiamen University,False,True,True
PRJEB31957,human_review,,0,,,0,0,0,UNIVERSITY OF OSLO,False,True,True
PRJNA1276154,human_review,,0,,,0,0,0,Zhengzhou University,False,True,True
PRJEB33013,included,,25,Kim J,Pai H,2,2,0,HANYANG UNIVERSITY,True,True,True
PRJNA809331,excluded,age_unknown_no_evidence,0,,,0,0,0,Wenzhou Medical University,False,True,True
PRJNA1249435,included,,0,,,0,0,0,University of Rochester School of Medicine & Dentistry,False,True,True
PRJNA718445,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Toronto,False,True,True
PRJEB55713,included,,8,Kim J,Pai H,1,1,0,HANYANG UNIVERSITY,True,True,True
